"scientific_name","common_name","source"
"Epinephelus analogus","cabrilla","FDA The Seafood List, 2023/07/21"
"Epinephelus diacanthus","grouper","FDA The Seafood List, 2023/07/21"
"Epinephelus fucoglottus x Epinephelus lanceolatus","grouper","FDA The Seafood List, 2023/07/21"
"Epinephelus heniochus","grouper","FDA The Seafood List, 2023/07/21"
"Epinephelus mystacinus","grouper","FDA The Seafood List, 2023/07/21"
"Epinephelus nigritus","grouper","FDA The Seafood List, 2023/07/21"
"Epinephelus niveatus","grouper","FDA The Seafood List, 2023/07/21"
"Epinephelus poecilonotus","grouper","FDA The Seafood List, 2023/07/21"
"Epinephelus timorensis","yellowspotted grouper","FDA The Seafood List, 2023/07/21"
"Epinephelus trophis","plump grouper","FDA The Seafood List, 2023/07/21"
"Eptatretus stoutii","hagfish","FDA The Seafood List, 2023/07/21"
"Equetus punctatus","drum","FDA The Seafood List, 2023/07/21"
"Equus africanus asinus","donkey","SJ"
"Erimacrus isenbeckii","korean variety crabmeat","FDA The Seafood List, 2023/07/21"
"Eriocheir sinensis","chinese mitten crab","FAO Cultured Aquatic Species Fact Sheets"
"Esox","pike","JL"
"Esox americanus americanus","pickerel","FDA The Seafood List, 2023/07/21"
"Esox americanus vermiculatus","pickerel","FDA The Seafood List, 2023/07/21"
"Euastacus armatus","crawfish","FDA The Seafood List, 2023/07/21"
"Eucidaris tribuloides","slate pencil urchin","BP"
"Euvola diegensis","scallop","FDA The Seafood List, 2023/07/21"
"Euvola ziczac","scallop","FDA The Seafood List, 2023/07/21"
"Evechinus chloroticus","kina (new zealand urchin)","BP"
"Exocoetidae","flying fish","JL"
"Exocoetus obtusirostris","flyingfish","FDA The Seafood List, 2023/07/21"
"Exopalaemon styliferus","shrimp","FDA The Seafood List, 2023/07/21"
"Farfantepenaeus aztecus","northern brown shrimp","SJ"
"Farfantepenaeus brasiliensis","shrimp","FDA The Seafood List, 2023/07/21"
"Farfantepenaeus duorarum","northern pink shrimp","SJ"
"Farfantepenaeus notialis","southern pink shrimp","SJ"
"Farfantepenaeus subtilis","brown shrimp","FDA The Seafood List, 2023/07/21"
"Fenneropenaeus chinensis","chinese white shrimp","SJ"
"Fenneropenaeus indicus","indian prawn","SJ"
"Fenneropenaeus merguiensis","shrimp","FDA The Seafood List, 2023/07/21"
"Fenneropenaeus penicillatus","shrimp","FDA The Seafood List, 2023/07/21"
"Fissurella limbata","limpet","FDA The Seafood List, 2023/07/21"
"Fissurella maxima","limpet","FDA The Seafood List, 2023/07/21"
"Fodiator acutus","flyingfish","FDA The Seafood List, 2023/07/21"
